(0.018145, 0.956522), (0.147177, 0.971014), (0.173387, 0.913043), (0.179435, 0.845411)
(0.169355, 0.961353), (0.221774, 0.386473), (0.286290, 0.405797), (0.247984, 0.961353)
(0.247984, 0.961353), (0.280242, 0.386473), (0.350806, 0.449275), (0.310484, 0.893720)
(0.310484, 0.893720), (0.312500, 1.009662), (0.310484, 0.975845), (0.389113, 0.850242)
(0.379032, 0.961353), (0.431452, 0.386473), (0.500000, 0.405797), (0.457661, 0.961353)
(0.457661, 0.961353), (0.489919, 0.386473), (0.560484, 0.449275), (0.520161, 0.893720)
(0.520161, 0.893720), (0.522177, 1.009662), (0.520161, 0.975845), (0.598790, 0.850242)
(0.586694, 0.855072), (0.689516, 0.333333), (0.540323, 0.512077), (0.608871, 0.893720)
(0.608871, 0.893720), (0.655242, 1.024155), (0.695565, 0.830918), (0.695565, 0.067633)
(0.673387, 0.772947), (0.754032, 0.304348), (0.782258, 0.690821), (0.679435, 0.710145)
(0.679435, 0.685990), (0.709677, 1.048309), (0.723790, 1.004831), (0.818548, 0.550725)
(0.818548, 0.550725), (0.917339, 1.198068), (0.741935, 0.884058), (0.879032, 0.753623)
(0.879032, 0.753623), (1.008065, 0.550725), (0.899194, 0.396135), (0.897177, 0.748792)
(0.897177, 0.748792), (0.901210, 1.033816), (0.945565, 0.946860), (0.975806, 0.782609)
